City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Cabo San Lucas,MX,22.8909,-109.9124,75.0,40,1,11.5,clear sky
111,Lebu,CL,-37.6167,-73.65,64.33,79,10,9.19,clear sky
112,Yerofey Pavlovich,RU,53.9667,121.9667,-2.29,88,100,3.83,overcast clouds
113,Nacala,MZ,-14.5428,40.6728,79.5,86,70,6.98,broken clouds
114,Saint George,US,37.1041,-113.5841,60.01,20,98,2.1,overcast clouds
115,Diego De Almagro,CL,-26.3667,-70.05,83.5,20,0,14.2,clear sky
116,Yekaterinogradskaya,RU,43.7635,44.2317,26.6,93,90,2.24,light snow
117,Rio Gallegos,AR,-51.6226,-69.2181,82.4,21,0,10.36,clear sky
118,Skjervoy,NO,70.0311,20.9714,23.0,80,75,6.91,light snow
119,Avera,US,33.194,-82.5271,60.8,55,40,8.05,scattered clouds
120,Gravelbourg,CA,49.8834,-106.5512,-16.6,58,0,17.27,clear sky
121,Gazalkent,UZ,41.5581,69.7708,50.0,87,0,4.61,clear sky
122,Santa Helena,BR,-2.2311,-45.3,84.47,71,75,4.03,broken clouds
123,Bengkulu,ID,-3.8004,102.2655,75.94,77,97,3.56,overcast clouds
124,Buraydah,SA,26.326,43.975,51.8,100,0,6.91,clear sky
125,Port-Cartier,CA,50.0334,-66.8654,28.0,63,83,13.8,broken clouds
126,Ode,NG,7.7899,5.7117,78.03,18,70,4.25,broken clouds
127,Matara,LK,5.9485,80.5353,74.52,88,87,8.3,overcast clouds
128,Tutoia,BR,-2.7619,-42.2744,86.0,70,40,13.8,scattered clouds
129,Stokmarknes,NO,68.5646,14.9108,28.4,93,40,5.75,scattered clouds
130,Farafangana,MG,-22.8167,47.8333,79.75,87,100,11.1,light rain
131,Pisco,PE,-13.7,-76.2167,77.0,73,0,8.05,clear sky
132,Nenjiang,CN,49.1833,125.2167,0.37,89,100,4.99,overcast clouds
133,Howard Springs,AU,-12.497,131.047,75.2,94,75,9.22,broken clouds
134,Thunder Bay,CA,48.4001,-89.3168,-2.99,41,20,8.05,few clouds
135,Hofn,IS,64.2539,-15.2082,35.6,80,90,10.36,snow
136,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,77,20,11.99,few clouds
137,Caravelas,BR,-17.7125,-39.2481,72.95,96,100,0.65,overcast clouds
138,Moose Factory,CA,51.2585,-80.6094,-4.0,54,1,17.27,clear sky
139,Ewa Beach,US,21.3156,-158.0072,75.2,57,20,11.5,few clouds
140,Atuona,PF,-9.8,-139.0333,79.74,76,62,21.5,broken clouds
141,Burgthann,DE,49.352,11.3115,27.0,87,100,5.08,overcast clouds
142,Seka,TH,17.9285,103.9552,65.5,84,100,2.3,light rain
143,Touros,BR,-5.1989,-35.4608,86.0,62,0,20.71,clear sky
144,San Quintin,MX,30.4833,-115.95,62.91,61,0,6.62,clear sky
145,Souillac,MU,-20.5167,57.5167,80.6,74,40,8.05,scattered clouds
146,Barrow,US,71.2906,-156.7887,-34.6,84,1,12.66,clear sky
147,Port Lincoln,AU,-34.7333,135.8667,65.21,81,7,13.09,light rain
