City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Mhlume,SZ,75.99,scattered clouds,-26.0333,31.85,
348,Amapa,BR,78.58,overcast clouds,1.0,-52.0,
349,Sola,VU,81.72,clear sky,-13.8833,167.55,Leumerus Bungalows
351,Kavaratti,IN,81.48,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
353,Bubaque,GW,77.7,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
357,Goundam,ML,76.37,overcast clouds,16.4145,-3.6708,
359,Karratha,AU,79.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
360,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
361,Namatanai,PG,80.6,overcast clouds,-3.6667,152.4333,Namatanai Hotel
369,Jacareacanga,BR,89.6,few clouds,-6.2222,-57.7528,Casa do Ian😎
370,Hithadhoo,MV,82.49,broken clouds,-0.6,73.0833,Scoop Guest House
372,Beloha,MG,78.69,light rain,-25.1667,45.05,
375,Indramayu,ID,78.87,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
377,Kaele,CM,77.79,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
379,Katherine,AU,75.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
381,Mount Isa,AU,75.2,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
382,Nuevitas,CU,86.0,scattered clouds,21.5453,-77.2644,Hotel Caonaba
384,Manado,ID,77.0,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
386,Gizo,SB,82.96,moderate rain,-8.103,156.8419,Imagination Island
387,Sechura,PE,86.5,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
391,Manacapuru,BR,77.0,broken clouds,-3.2997,-60.6206,Novo Hotel
392,Bogo,PH,76.14,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
396,Kismayo,SO,77.88,scattered clouds,-0.3582,42.5454,Agan-Hotel
406,Segou,ML,82.71,clear sky,13.4317,-6.2157,Comme chez soi
408,Dhidhdhoo,MV,81.3,clear sky,6.8833,73.1,Dhidhoo beach
411,Navolato,MX,82.0,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
417,Naifaru,MV,81.16,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
418,Quelimane,MZ,77.7,scattered clouds,-17.8786,36.8883,Hotel Flamingo
420,Pandan,PH,78.06,moderate rain,14.0453,124.1694,Bonifacio Lodge
424,Amahai,ID,78.85,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
427,Kirakira,SB,80.24,overcast clouds,-10.4544,161.9205,SanBiz Lodge
428,Teluk Nibung,ID,75.63,overcast clouds,3.0010000000000003,99.8164,Hotel Assyifa
429,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
430,San Isidro,PE,78.01,scattered clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
433,San Cristobal,VE,89.6,scattered clouds,7.7669,-72.225,Pirineos
435,Venado Tuerto,AR,78.55,moderate rain,-33.7456,-61.9688,La Bianca.
449,Vertientes,CU,86.0,scattered clouds,21.2594,-78.1464,
453,Kampot,KH,75.2,few clouds,10.6167,104.1833,Two Moons Hotel
459,Samana,DO,84.2,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
465,Moerai,PF,81.25,few clouds,-22.4333,-151.3333,Le Manotel
466,Conde,BR,84.2,few clouds,-7.2597,-34.9075,Pousada Beija Flor
475,Tabou,CI,78.51,light rain,4.423,-7.3528,hotêl doufoulougou
477,Kuruman,ZA,75.0,few clouds,-27.4524,23.4325,Cornerstone Guest House
480,Manta,EC,80.6,overcast clouds,-0.95,-80.7333,Balandra Hotel
481,Lufilufi,WS,82.4,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
482,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
483,Nha Trang,VN,77.0,few clouds,12.25,109.1833,Hanoi Golden Hotel
486,Soledade,BR,76.75,clear sky,-28.8183,-52.5103,Pousada Da Gringa
492,Ambulu,ID,75.33,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
494,Loandjili,CG,80.56,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
498,Tonantins,BR,83.88,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
500,Miracema Do Tocantins,BR,83.79,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
507,General Roca,AR,75.2,clear sky,-39.0333,-67.5833,Hotel El Recreo
508,Port Blair,IN,75.47,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
509,Coahuayana,MX,78.8,few clouds,18.7333,-103.6833,Hotel Los Arcos
518,Jutai,BR,84.67,light rain,-5.1833,-68.9,
523,Cabedelo,BR,84.2,few clouds,-6.9811,-34.8339,Hotel Pigalle
530,Jaumave,MX,82.4,scattered clouds,23.4167,-99.3833,Hotel Las Guacamayas
544,Alyangula,AU,82.4,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
549,Bull Savanna,JM,80.53,few clouds,17.8868,-77.5902,Big Red's
555,Mozarlandia,BR,79.03,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
556,Samarai,PG,81.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
570,Rio Grande,BR,77.0,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
575,La Libertad,EC,84.2,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
579,Inirida,CO,88.72,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
589,Viedma,AR,75.99,clear sky,-40.8135,-62.9967,Hotel Cristal
596,Camana,PE,76.41,broken clouds,-16.6228,-72.7111,Hostal Morales
604,Innisfail,AU,77.11,light rain,-17.5333,146.0333,Moondarra Motel
606,Takoradi,GH,80.74,scattered clouds,4.8845,-1.7554,Raybow International Hotel
607,Diamantino,BR,87.55,few clouds,-14.4086,-56.4461,Hotel Delta
608,Cururupu,BR,84.9,moderate rain,-1.8283,-44.8683,Pousada Través'cia
611,Yeppoon,AU,78.8,overcast clouds,-23.1333,150.7333,Villa Mar Colina
612,Port-Gentil,GA,82.4,light rain,-0.7193,8.7815,Fengshui Residence
613,Harper,LR,78.55,moderate rain,4.375,-7.7169,Screensaver
